"search_log_id";"total_price_final";"rooms_total_price";"upsell_total_price";"vouchers_total_price";"loyalty_discount_total";"redeemed_loyalty_points_total"
"141285";"924.75";"1027.5";"0.00";"0";"102.75";"0.00"
"141337";"104058";"122522";"0.00";"0";"13464.00";"5000.00"
"141407";"102047";"113385.56";"0.00";"0";"11338.56";"0.00"
"141495";"162741";"212733.33000000002";"0.00";"0";"21273.33";"28719.00"
"141952";"272811";"329867.78";"0.00";"0";"32986.78";"24070.00"
"142054";"154406";"207900";"0.00";"0";"31185.00";"22309.00"
"142104";"394880";"444311.11";"0.00";"0";"44431.11";"5000.00"
"142110";"540";"540";"0.00";"0";"0.00";"0.00"
"142185";"406.58";"284.58";"0.00";"0";"0.00";"0.00"
"142291";"742.01";"872.95";"0.00";"0";"130.94";"0.00"
"142302";"173502";"192780";"0.00";"0";"19278.00";"0.00"
"142300";"309837";"368853.18";"0.00";"0";"59016.18";"0.00"
"142319";"261697";"296330";"0.00";"0";"29633.00";"5000.00"
"142331";"125248";"144720";"0.00";"0";"14472.00";"5000.00"
"142336";"285314";"317015.56";"0.00";"0";"31701.56";"0.00"
"142338";"168998";"193331.11";"0.00";"0";"19333.11";"5000.00"
"142342";"543308";"603675.56";"0.00";"0";"60367.56";"0.00"
"142400";"367.96";"342.99";"24.97";"0";"0.00";"0.00"
"142478";"347.36";"399.84000000000003";"0.00";"0";"39.98";"12.50"
"142479";"137700";"153000";"0.00";"0";"15300.00";"0.00"
"142503";"172467";"199376.56";"0.00";"0";"21909.56";"5000.00"
"142942";"203619";"203619";"0.00";"0";"0.00";"0.00"
"142971";"530973";"610740";"0.00";"0";"61074.00";"18693.00"
"143011";"364775";"426599.11";"0.00";"0";"46879.11";"14945.00"
"143034";"144063";"165625.56";"0.00";"0";"16562.56";"0.00"
"143104";"168502";"194922";"0.00";"0";"21420.00";"5000.00"
"143112";"373320";"373320";"0.00";"0";"0.00";"0.00"
"143125";"70738";"84153.33";"0.00";"0";"8415.33";"5000.00"
"143124";"104058";"122522";"0.00";"0";"13464.00";"5000.00"
"143220";"384416";"432684.44";"0.00";"0";"43268.44";"5000.00"
"143281";"231336";"257040";"0.00";"0";"25704.00";"0.00"
"143292";"349681";"388534.45";"0.00";"0";"38853.45";"0.00"
"143327";"341504";"385560";"0.00";"0";"38556.00";"5500.00"
"143378";"527.29";"527.29";"0.00";"0";"0.00";"0.00"
"143410";"193640";"221161.56";"0.00";"0";"22521.56";"5000.00"
"143419";"174420";"174420";"0.00";"0";"0.00";"0.00"
"143449";"820.65";"782.85";"37.80";"0";"0.00";"0.00"
"143457";"156773";"181745";"0.00";"0";"19972.00";"5000.00"
"143960";"224428";"266035.56";"0.00";"0";"26603.56";"15004.00"
"143964";"599";"599";"0.00";"0";"0.00";"0.00"
"143984";"373680";"373680";"0.00";"0";"0.00";"0.00"
"144071";"218376";"242640";"0.00";"0";"24264.00";"0.00"
"144091";"212333";"212333";"0.00";"0";"0.00";"0.00"
"144277";"130628";"145142.22";"0.00";"0";"14514.22";"0.00"
"144393";"183369";"220712.22";"0.00";"0";"22071.22";"15272.00"
"144408";"733665";"815183.33";"0.00";"0";"81518.33";"0.00"
"144447";"145858";"162064.44";"0.00";"0";"16206.44";"0.00"
"144471";"88691";"105257.8";"0.00";"0";"11566.80";"5000.00"
"144479";"523";"595";"0.00";"0";"59.50";"12.50"
"144489";"369.25";"425";"0.00";"0";"42.50";"13.25"
"144883";"214840";"222155.56";"19900.00";"0";"22215.56";"5000.00"
"144996";"351.3";"321.3";"30.00";"0";"0.00";"0.00"
"145202";"93068";"104557.89";"0.00";"0";"11489.89";"0.00"
"145280";"148716";"165240";"0.00";"0";"16524.00";"0.00"
"145290";"274531";"310590";"0.00";"0";"31059.00";"5000.00"
"145372";"115713";"128570";"0.00";"0";"12857.00";"0.00"
"145943";"299042";"337824.44";"0.00";"0";"33782.44";"5000.00"
"146070";"267689";"297432.22";"0.00";"0";"29743.22";"0.00"
"146079";"212284.8";"235871.8";"0.00";"0";"23587.00";"0.00"
"146100";"129349";"145318";"0.00";"0";"15969.00";"0.00"
"146240";"601.02";"445.53999999999996";"204.44";"0";"48.96";"0.00"
"146254";"112807";"132351.11";"0.00";"0";"14544.11";"5000.00"
"146726";"555.13";"630.7";"0.00";"0";"63.07";"12.50"
"146840";"379746";"379746";"0.00";"0";"0.00";"0.00"
"146895";"170748";"170748";"0.00";"0";"0.00";"0.00"
"146964";"119151";"137945.55";"0.00";"0";"13794.55";"5000.00"
"147024";"250339";"278154.44";"0.00";"0";"27815.44";"0.00"
"147051";"519020";"576688.89";"0.00";"0";"57668.89";"0.00"
"147022";"150368";"167075.6";"0.00";"0";"16707.60";"0.00"
"147148";"746380";"834866.67";"0.00";"0";"83486.67";"5000.00"
"147187";"471.75";"538.06";"0.00";"0";"53.81";"12.50"
"147189";"280082";"280082";"0.00";"0";"0.00";"0.00"
"147218";"76503";"76503";"0.00";"0";"0.00";"0.00"
"147369";"176256";"176256";"0.00";"0";"0.00";"0.00"
"147790";"302406";"341562.22";"0.00";"0";"34156.22";"5000.00"
"147861";"75397";"84705.22";"0.00";"0";"9308.22";"0.00"
"147885";"148061";"148061";"0.00";"0";"0.00";"0.00"
"148100";"718.77";"718.77";"0.00";"0";"0.00";"0.00"
"148174";"337046";"380051.11";"0.00";"0";"38005.11";"5000.00"
"148203";"201511";"311040";"0.00";"0";"62208.00";"47321.00"
"148323";"83023";"101960";"0.00";"0";"0.00";"18937.00"
"148324";"105981";"119952";"0.00";"0";"0.00";"13971.00"
"148357";"733.42";"745.9200000000001";"0.00";"0";"0.00";"12.50"
"148383";"226980";"226980";"0.00";"0";"0.00";"0.00"
"148405";"129878";"151529.56";"0.00";"0";"16651.56";"5000.00"
"148411";"1386.75";"1215.5";"171.25";"0";"0.00";"0.00"
"148502";"197180";"219088.89";"0.00";"0";"21908.89";"0.00"
"148499";"238.5";"265";"0.00";"0";"26.50";"0.00"
"148504";"314874";"314874";"0.00";"0";"0.00";"0.00"
"148963";"69486";"82762.2";"0.00";"0";"8276.20";"5000.00"
"149052";"142767";"158630";"0.00";"0";"15863.00";"0.00"
"149092";"108355";"125950";"0.00";"0";"12595.00";"5000.00"
"149119";"299268";"299268";"0.00";"0";"0.00";"0.00"
"149153";"225198";"290160";"0.00";"0";"29016.00";"35946.00"
"149166";"99040";"104040";"0.00";"0";"0.00";"5000.00"
"149221";"217566";"217566";"0.00";"0";"0.00";"0.00"
"149262";"1462.93";"1639.3700000000001";"0.00";"0";"163.94";"12.50"
"149279";"174067";"195556.78";"0.00";"0";"21489.78";"0.00"
"149326";"158630";"158630";"0.00";"0";"0.00";"0.00"
"149353";"106855";"118727.78";"0.00";"0";"11872.78";"0.00"
"149377";"131740";"148453.55";"0.00";"0";"16313.55";"400.00"
"149505";"155255";"172505.55";"0.00";"0";"17250.55";"0.00"
"149525";"162994";"186660";"0.00";"0";"18666.00";"5000.00"
"149558";"230850";"256500";"0.00";"0";"25650.00";"0.00"
"149565";"201600";"201600";"0.00";"0";"0.00";"0.00"
"149589";"98109";"115838.56";"0.00";"0";"12729.56";"5000.00"
"149721";"131998";"146664.44";"0.00";"0";"14666.44";"0.00"
