,id,search_log_room_id,age,baby_bed,hotel_id
2380,3656,15045,12,0,hotel_3
2381,3657,15046,16,0,hotel_3
2382,3658,15047,12,0,hotel_3
2383,3659,15050,4,0,hotel_3
2384,3660,15063,7,0,hotel_3
2385,3661,15067,4,0,hotel_3
2386,3662,15067,7,0,hotel_3
2387,3663,15067,9,0,hotel_3
2388,3664,15079,1,1,hotel_3
2389,3665,15079,1,1,hotel_3
2390,3666,15084,16,0,hotel_3
2391,3667,15088,8,0,hotel_3
2392,3668,15089,2,0,hotel_3
2393,3669,15089,5,0,hotel_3
2394,3670,15090,2,0,hotel_3
2395,3671,15090,5,0,hotel_3
2396,3672,15091,8,0,hotel_3
2397,3673,15092,15,0,hotel_3
2398,3674,15092,15,0,hotel_3
2399,3675,15094,8,0,hotel_3
2400,3676,15098,0,1,hotel_3
2401,3677,15098,5,0,hotel_3
2402,3679,15101,0,1,hotel_3
2403,3680,15102,5,0,hotel_3
2404,3681,15104,2,0,hotel_3
2405,3682,15104,7,0,hotel_3
2406,3683,15110,14,0,hotel_3
2407,3684,15111,8,0,hotel_3
2408,3685,15111,4,0,hotel_3
2409,3686,15112,10,0,hotel_3
2410,3687,15112,12,0,hotel_3
2411,3688,15112,15,0,hotel_3
2412,3689,15113,6,0,hotel_3
2413,3690,15113,8,0,hotel_3
2414,3691,15136,12,0,hotel_3
2415,3692,15141,2,1,hotel_3
2416,3693,15142,6,0,hotel_3
2417,3694,15142,4,0,hotel_3
2418,3695,15142,1,0,hotel_3
2419,3696,15144,5,0,hotel_3
2420,3697,15148,3,0,hotel_3
2421,3698,15151,16,0,hotel_3
2422,3699,15167,5,0,hotel_3
2423,3700,15179,9,0,hotel_3
2424,3701,15180,9,0,hotel_3
2425,3702,15184,5,0,hotel_3
2426,3703,15184,13,0,hotel_3
2427,3704,15185,5,0,hotel_3
2428,3705,15185,13,0,hotel_3
2429,3706,15189,14,0,hotel_3
2430,3707,15189,11,0,hotel_3
2431,3708,15205,6,0,hotel_3
2432,3709,15206,9,0,hotel_3
2433,3710,15207,9,0,hotel_3
2434,3711,15208,9,0,hotel_3
2435,3712,15209,9,0,hotel_3
2436,3713,15210,9,0,hotel_3
2437,3714,15211,2,0,hotel_3
2438,3715,15218,16,0,hotel_3
2439,3716,15219,8,0,hotel_3
2440,3717,15220,10,0,hotel_3
2441,3718,15221,16,0,hotel_3
2442,3719,15222,8,0,hotel_3
2443,3720,15223,10,0,hotel_3
2444,3721,15225,2,1,hotel_3
2445,3722,15228,16,0,hotel_3
2446,3725,15236,16,0,hotel_3
2447,3726,15242,17,0,hotel_3
2448,3727,15245,12,0,hotel_3
2449,3729,15250,14,0,hotel_3
2450,3730,15250,14,0,hotel_3
2451,3731,15258,16,0,hotel_3
2452,3732,15261,0,0,hotel_3
2453,3733,15264,0,0,hotel_3
2454,3734,15267,15,0,hotel_3
2455,3735,15602,9,0,hotel_3
2456,3736,15603,9,0,hotel_3
2457,3737,15921,17,0,hotel_3
2458,3738,15926,5,0,hotel_3
2459,3739,15930,14,0,hotel_3
2460,3740,15930,8,0,hotel_3
2461,3741,15936,9,0,hotel_3
2462,3742,15941,16,0,hotel_3
2463,3743,15941,17,0,hotel_3
2464,3744,15941,0,0,hotel_3
2465,3745,15942,16,0,hotel_3
2466,3746,15942,17,0,hotel_3
2467,3747,15945,16,0,hotel_3
2468,3748,15945,17,0,hotel_3
2469,3749,15946,16,0,hotel_3
2470,3750,15946,17,0,hotel_3
2471,3751,15947,16,0,hotel_3
2472,3752,15947,17,0,hotel_3
2473,3753,15948,16,0,hotel_3
2474,3754,15948,17,0,hotel_3
2475,3755,15951,16,0,hotel_3
2476,3756,15951,17,0,hotel_3
2477,3757,15954,14,0,hotel_3
2478,3758,15955,14,0,hotel_3
2479,3759,15960,4,0,hotel_3
2480,3760,15961,14,0,hotel_3
2481,3761,15961,17,0,hotel_3
2482,3762,15969,17,0,hotel_3
2483,3763,15970,13,0,hotel_3
2484,3764,15970,14,0,hotel_3
2485,3765,15971,13,0,hotel_3
2486,3766,15972,14,0,hotel_3
2487,3767,15974,13,0,hotel_3
2488,3768,15974,15,0,hotel_3
2489,3769,15976,13,0,hotel_3
2490,3770,15977,15,0,hotel_3
2491,3771,15980,13,0,hotel_3
2492,3772,15981,15,0,hotel_3
2493,3773,15987,14,0,hotel_3
2494,3774,15987,11,0,hotel_3
2495,3775,15988,14,0,hotel_3
2496,3776,16001,9,0,hotel_3
2497,3777,16003,6,0,hotel_3
2498,3778,16004,6,0,hotel_3
2499,3779,16015,9,0,hotel_3
2500,3780,16016,7,0,hotel_3
2501,3781,16016,4,0,hotel_3
2502,3782,16017,7,0,hotel_3
2503,3783,16017,4,0,hotel_3
2504,3784,16020,12,0,hotel_3
2505,3785,16026,0,0,hotel_3
2506,3786,16029,9,0,hotel_3
2507,3787,16031,9,0,hotel_3
2508,3788,16034,1,0,hotel_3
2509,3789,16036,6,0,hotel_3
2510,3790,16036,12,0,hotel_3
2511,3791,16036,13,0,hotel_3
