,id,uuid,session_id,utm_source,utm_medium,utm_campaign,hotel_id
142,4410,554837453.1725777605,1726652212,facebook,cpc,campaign_1,hotel_3
143,4411,447198934.1724667102,1726652244,redir.d-edgeconnect.media,referral,(not set),hotel_3
144,4412,269800609.1726652221,1726652266,,nan,(not set),hotel_3
145,4413,1088921417.1725528361,1726652276,google,cpc,(not set),hotel_3
146,4414,308002027.1726488621,1726652601,google,cpc,(not set),hotel_3
147,4415,1631793533.1726652599,1726652670,,nan,(not set),hotel_3
148,4416,954709922.1726650221,1726653040,google,cpc,(not set),hotel_3
149,4417,56184053.1726653118,1726653205,,nan,(not set),hotel_3
150,4418,b0405f3d-c9f9-4028-abd2-0aa2344b833b,1726653211,redir.d-edgeconnect.media,referral,(not set),hotel_3
151,4419,97131264-2811-4ba3-afad-b69286b87d06,1726653211,redir.d-edgeconnect.media,referral,(not set),hotel_3
152,4420,1644406876.1726653263,1726653461,google,cpc,(not set),hotel_3
153,4421,2006995398.1726653393,1726653556,(direct),(not set),(not set),hotel_3
154,4422,498056633.1726652892,1726653651,google,cpc,(not set),hotel_3
155,4423,687497279.1726653601,1726653678,,nan,(not set),hotel_3
156,4424,469612258.1725360457,1726654045,google,cpc,(not set),hotel_3
157,4425,1061072490.1726653989,1726654082,google,cpc,(not set),hotel_3
158,4426,1385768052.1726654086,1726654331,(direct),(not set),(not set),hotel_3
159,4427,1879846432.1726653799,1726654519,,nan,(not set),hotel_3
160,4428,1472272554.1725973543,1726655078,,nan,(not set),hotel_3
161,4429,1638881644.1726655031,1726655193,google,cpc,(not set),hotel_3
162,4430,1077327452.1726650220,1726655202,google,cpc,(not set),hotel_3
163,4431,6d91af03-3b61-4f0d-b413-0083018c785b,1726655547,facebook,cpc,campaign_1,hotel_3
164,4432,515653507.1726655553,1726655547,facebook,cpc,campaign_1,hotel_3
165,4433,874398879.1726654885,1726655721,google,cpc,(not set),hotel_3
