"id";"search_log_id";"adults";"children";"picked_room";"picked_price";"picked_room"
"6080";"112923";"2";"3";NULL;NULL;NULL
"6081";"112924";"2";"1";NULL;NULL;NULL
"6082";"112925";"2";"0";NULL;NULL;NULL
"6083";"112926";"2";"2";NULL;NULL;NULL
"6084";"112927";"2";"1";NULL;NULL;NULL
"6085";"112928";"2";"0";NULL;NULL;NULL
"6086";"112929";"2";"1";NULL;NULL;NULL
"6089";"112932";"2";"2";NULL;NULL;NULL
"6092";"112935";"2";"0";NULL;NULL;NULL
"6093";"112936";"2";"2";NULL;NULL;NULL
"6094";"112937";"2";"0";NULL;NULL;NULL
"6095";"112938";"2";"0";NULL;NULL;NULL
"6096";"112939";"2";"0";NULL;NULL;NULL
"6097";"112940";"2";"1";NULL;NULL;NULL
"6098";"112941";"2";"2";NULL;NULL;NULL
"6099";"112942";"2";"0";NULL;NULL;NULL
"6100";"112943";"2";"0";NULL;NULL;NULL
"6101";"112944";"2";"0";NULL;NULL;NULL
"6102";"112945";"2";"0";NULL;NULL;NULL
"6103";"112946";"2";"0";NULL;NULL;NULL
"6104";"112947";"2";"0";NULL;NULL;NULL
"6105";"112948";"2";"0";NULL;NULL;NULL
"6106";"112949";"2";"2";NULL;NULL;NULL
"6107";"112950";"2";"0";NULL;NULL;NULL
"6108";"112951";"2";"2";NULL;NULL;NULL
"6109";"112952";"2";"2";NULL;NULL;NULL
"6110";"112953";"2";"1";NULL;NULL;NULL
"6111";"112954";"2";"0";NULL;NULL;NULL
"6112";"112955";"2";"2";NULL;NULL;NULL
"6113";"112956";"2";"0";NULL;NULL;NULL
"6114";"112956";"2";"0";NULL;NULL;NULL
"6115";"112956";"2";"0";NULL;NULL;NULL
"6117";"112958";"2";"0";NULL;NULL;NULL
"6118";"112959";"2";"0";NULL;NULL;NULL
"6119";"112960";"2";"0";NULL;NULL;NULL
"6120";"112961";"2";"0";NULL;NULL;NULL
"6121";"112962";"2";"0";NULL;NULL;NULL
"6122";"112963";"2";"0";NULL;NULL;NULL
"6123";"112964";"2";"0";NULL;NULL;NULL
"6124";"112965";"2";"0";NULL;NULL;NULL
"6125";"112966";"2";"0";NULL;NULL;NULL
"6126";"112967";"2";"0";NULL;NULL;NULL
"6127";"112968";"2";"0";NULL;NULL;NULL
"6128";"112969";"2";"1";NULL;NULL;NULL
"6129";"112970";"2";"1";NULL;NULL;NULL
"6130";"112971";"2";"0";NULL;NULL;NULL
"6131";"112972";"1";"1";NULL;NULL;NULL
"6132";"112973";"2";"0";NULL;NULL;NULL
"6133";"112974";"2";"0";NULL;NULL;NULL
"6134";"112975";"2";"0";NULL;NULL;NULL
"6135";"112976";"2";"0";NULL;NULL;NULL
"6136";"112977";"2";"0";NULL;NULL;NULL
"6137";"112978";"2";"0";NULL;NULL;NULL
"6138";"112979";"2";"0";NULL;NULL;NULL
"6139";"112980";"2";"1";NULL;NULL;NULL
"6140";"112981";"2";"3";NULL;NULL;NULL
"6141";"112982";"2";"0";NULL;NULL;NULL
"6142";"112983";"2";"0";NULL;NULL;NULL
"6143";"112984";"2";"0";NULL;NULL;NULL
"6144";"112985";"2";"0";NULL;NULL;NULL
"6145";"112986";"2";"0";NULL;NULL;NULL
"6146";"112987";"4";"0";NULL;NULL;NULL
"6147";"112988";"2";"0";NULL;NULL;NULL
"6148";"112989";"1";"0";NULL;NULL;NULL
"6149";"112990";"1";"0";NULL;NULL;NULL
"6150";"112991";"2";"2";NULL;NULL;NULL
"6151";"112992";"2";"2";NULL;NULL;NULL
"6152";"112993";"2";"3";NULL;NULL;NULL
"6153";"112994";"2";"0";NULL;NULL;NULL
"6154";"112995";"2";"1";NULL;NULL;NULL
"6157";"112997";"2";"3";NULL;NULL;NULL
"6158";"112998";"2";"2";NULL;NULL;NULL
"6159";"112999";"2";"0";NULL;NULL;NULL
"6160";"113000";"2";"0";NULL;NULL;NULL
"6161";"113001";"2";"3";NULL;NULL;NULL
"6162";"113002";"2";"3";NULL;NULL;NULL
"6163";"113003";"2";"3";NULL;NULL;NULL
"6164";"113004";"2";"3";NULL;NULL;NULL
"6165";"113005";"2";"0";NULL;NULL;NULL
"6166";"113006";"2";"1";NULL;NULL;NULL
"6167";"113006";"1";"1";NULL;NULL;NULL
"6168";"113007";"2";"1";NULL;NULL;NULL
"6169";"113007";"1";"1";NULL;NULL;NULL
"6170";"113008";"2";"0";NULL;NULL;NULL
"6171";"113009";"2";"0";NULL;NULL;NULL
"6172";"113010";"2";"1";NULL;NULL;NULL
"6173";"113010";"1";"1";NULL;NULL;NULL
"6174";"113011";"2";"2";NULL;NULL;NULL
"6175";"113012";"2";"2";NULL;NULL;NULL
"6176";"113013";"2";"2";NULL;NULL;NULL
"6177";"113014";"2";"1";NULL;NULL;NULL
"6178";"113014";"1";"1";NULL;NULL;NULL
"6179";"113015";"2";"0";NULL;NULL;NULL
"6180";"113016";"2";"0";NULL;NULL;NULL
"6181";"113017";"2";"1";NULL;NULL;NULL
"6182";"113018";"2";"0";NULL;NULL;NULL
"6183";"113019";"2";"0";NULL;NULL;NULL
"6184";"113020";"2";"0";NULL;NULL;NULL
"6185";"113021";"2";"0";NULL;NULL;NULL
"6186";"113022";"2";"0";NULL;NULL;NULL
"6187";"113023";"2";"0";NULL;NULL;NULL
"6188";"113024";"2";"0";NULL;NULL;NULL
"6189";"113025";"2";"0";NULL;NULL;NULL
"6190";"113026";"2";"0";NULL;NULL;NULL
"6191";"113027";"2";"0";NULL;NULL;NULL
"6192";"113028";"2";"0";NULL;NULL;NULL
"6193";"113029";"2";"3";NULL;NULL;NULL
"6194";"113030";"2";"3";NULL;NULL;NULL
"6195";"113031";"2";"3";NULL;NULL;NULL
"6196";"113032";"2";"3";NULL;NULL;NULL
"6197";"113033";"2";"3";NULL;NULL;NULL
"6198";"113034";"2";"3";NULL;NULL;NULL
"6199";"113035";"2";"3";NULL;NULL;NULL
"6200";"113036";"2";"3";NULL;NULL;NULL
"6201";"113037";"2";"2";NULL;NULL;NULL
"6202";"113037";"2";"2";NULL;NULL;NULL
"6203";"113037";"2";"2";NULL;NULL;NULL
"6204";"113038";"2";"0";NULL;NULL;NULL
"6205";"113039";"2";"0";NULL;NULL;NULL
"6206";"113040";"2";"0";NULL;NULL;NULL
"6207";"113041";"2";"0";NULL;NULL;NULL
"6208";"113042";"2";"0";NULL;NULL;NULL
"6209";"113043";"2";"0";NULL;NULL;NULL
"6210";"113044";"2";"0";NULL;NULL;NULL
"6211";"113045";"2";"0";NULL;NULL;NULL
