,search_log_id,total_price_final,rooms_total_price,upsell_total_price,vouchers_total_price,loyalty_discount_total,redeemed_loyalty_points_total,hotel_id
201,86341,393607.0,473688.89,0.0,0,47368.89,32713.0,hotel_2
202,86347,219630.0,308534.89,0.0,0,33904.89,55000.0,hotel_2
203,86478,253368.0,253368.0,0.0,0,0.0,0.0,hotel_2
204,86496,100000.0,142711.56,0.0,0,15682.56,27029.0,hotel_2
205,86502,1032.75,1147.5,0.0,0,114.75,0.0,hotel_2
206,86543,361987.2,361987.2,0.0,0,0.0,0.0,hotel_2
207,86551,167719.0,167719.0,0.0,0,0.0,0.0,hotel_2
208,86561,161274.0,167760.0,10290.0,0,16776.0,0.0,hotel_2
209,86612,73353.0,78476.89,8500.0,0,8623.89,5000.0,hotel_2
210,86645,495.7,495.7,0.0,0,0.0,0.0,hotel_2
211,86659,171058.0,192176.22,0.0,0,21118.22,0.0,hotel_2
212,86696,116008.0,121175.56,6950.0,0,12117.56,0.0,hotel_2
213,86700,116008.0,121175.56,6950.0,0,12117.56,0.0,hotel_2
214,86726,379831.0,379831.0,0.0,0,0.0,0.0,hotel_2
215,86746,259384.0,293760.0,0.0,0,29376.0,5000.0,hotel_2
216,86786,173200.0,198000.0,0.0,0,19800.0,5000.0,hotel_2
217,86789,112871.0,130967.78,0.0,0,13096.78,0.0,hotel_2
218,86807,231243.0,259791.56,0.0,0,28548.56,0.0,hotel_2
219,86930,270498.36,270498.36,0.0,0,0.0,0.0,hotel_2
220,87011,95312.0,85912.0,9400.0,0,0.0,0.0,hotel_2
221,87047,284764.0,316404.4,0.0,0,31640.4,0.0,hotel_2
222,87055,96135.0,89185.0,6950.0,0,0.0,0.0,hotel_2
223,87061,154028.0,187920.0,0.0,0,18792.0,15100.0,hotel_2
224,87160,408.8,408.8,0.0,0,0.0,0.0,hotel_2
225,87184,301716.0,301716.0,0.0,0,0.0,0.0,hotel_2
226,87203,155876.0,155876.0,0.0,0,0.0,0.0,hotel_2
227,87225,265842.0,295380.0,0.0,0,29538.0,0.0,hotel_2
228,87240,195902.0,195902.0,0.0,0,0.0,0.0,hotel_2
229,87287,305694.0,339660.0,0.0,0,33966.0,0.0,hotel_2
230,87309,300694.0,339660.0,0.0,0,33966.0,5000.0,hotel_2
231,87346,126822.0,126822.0,0.0,0,0.0,0.0,hotel_2
232,87354,90003.0,90003.0,0.0,0,0.0,0.0,hotel_2
233,87366,826.7,826.7,0.0,0,0.0,0.0,hotel_2
234,87581,161935.0,179927.8,0.0,0,17992.8,0.0,hotel_2
235,87596,241896.0,287742.22,0.0,0,28774.22,17072.0,hotel_2
236,87672,110711.0,123012.22,0.0,0,12301.22,0.0,hotel_2
237,87678,110711.0,123012.22,0.0,0,12301.22,0.0,hotel_2
238,87754,2474.35,2793.8700000000003,0.0,0,307.02,12.5,hotel_2
239,87961,96170.0,96170.0,0.0,0,0.0,0.0,hotel_2
240,88208,109609.0,109609.0,0.0,0,0.0,0.0,hotel_2
241,88212,359757.0,405285.56,0.0,0,40528.56,5000.0,hotel_2
242,88253,286600.0,324000.0,0.0,0,32400.0,5000.0,hotel_2
243,88260,1003.2,1003.2,0.0,0,0.0,0.0,hotel_2
244,88302,410.35,461.01,0.0,0,50.66,0.0,hotel_2
245,88364,161234.0,161234.0,0.0,0,0.0,0.0,hotel_2
246,88370,677790.0,677790.0,0.0,0,0.0,0.0,hotel_2
247,88383,185026.0,211140.0,0.0,0,21114.0,5000.0,hotel_2
248,88421,245662.0,307077.52,0.0,0,61415.52,0.0,hotel_2
249,88442,394740.0,394740.0,0.0,0,0.0,0.0,hotel_2
250,88514,127296.0,127296.0,0.0,0,0.0,0.0,hotel_2
251,88523,196193.0,223992.22,0.0,0,22399.22,5400.0,hotel_2
252,88548,581.4,581.4,0.0,0,0.0,0.0,hotel_2
