"id";"search_log_id";"search_log_room_id";"room_code";"room_price_min";"room_price_max"
"46754";"85988";"14162";"ROOMBB";"171807.00";"211670.00"
"46755";"85989";"14163";"ROOMEE";"273668.00";"314541.00"
"46756";"85989";"14163";"ROOMHH";"327095.00";"369622.00"
"46757";"85990";"14164";"ROOMEE";"379440.00";"411852.00"
"46758";"85990";"14164";"ROOMHH";"452880.00";"485294.00"
"46759";"85991";"14165";"ROOMAA";"136887.00";"175670.00"
"46760";"85991";"14165";"ROOMGG";"143871.00";"182870.00"
"46761";"85991";"14165";"ROOMCC";"143871.00";"182870.00"
"46762";"85991";"14165";"ROOMBB";"171807.00";"211670.00"
"46763";"85992";"14166";"ROOMAA";"136887.00";"175670.00"
"46764";"85992";"14166";"ROOMGG";"143871.00";"182870.00"
"46765";"85992";"14166";"ROOMCC";"143871.00";"182870.00"
"46766";"85992";"14166";"ROOMBB";"171807.00";"211670.00"
"46767";"85993";"14167";"ROOMEE";"273668.00";"314541.00"
"46768";"85993";"14167";"ROOMHH";"327095.00";"369622.00"
"46769";"85994";"14168";"ROOMGG";"425.00";"521.00"
"46770";"85994";"14168";"ROOMBB";"493.00";"589.00"
"46771";"85995";"14169";"ROOMDD";"99732.00";"141320.00"
"46772";"85995";"14169";"ROOMAA";"105668.00";"148276.00"
"46773";"85995";"14169";"ROOMGG";"111604.00";"155230.00"
"46774";"85995";"14169";"ROOMCC";"111604.00";"155230.00"
"46775";"85995";"14169";"ROOMBB";"135350.00";"183050.00"
"46776";"85995";"14169";"ROOMFF";"147222.00";"196958.00"
"46777";"85996";"14170";"ROOMDD";"94982.00";"122400.00"
"46778";"85996";"14170";"ROOMAA";"100918.00";"128520.00"
"46779";"85996";"14170";"ROOMGG";"106856.00";"134640.00"
"46780";"85996";"14170";"ROOMCC";"106856.00";"134640.00"
"46781";"85996";"14170";"ROOMBB";"130600.00";"159120.00"
"46782";"85996";"14170";"ROOMFF";"142474.00";"171360.00"
"46783";"85999";"14173";"ROOMDD";"827.90";"827.90"
"46784";"85999";"14173";"ROOMGG";"878.90";"878.90"
"46785";"85999";"14173";"ROOMCC";"878.90";"878.90"
"46786";"85999";"14173";"ROOMBB";"980.90";"980.90"
"46787";"86000";"14174";"ROOMAA";"173196.00";"221302.00"
"46788";"86000";"14174";"ROOMGG";"182376.00";"231733.00"
"46789";"86000";"14174";"ROOMCC";"182376.00";"231733.00"
"46790";"86000";"14174";"ROOMBB";"219096.00";"273461.00"
"46791";"86001";"14175";"ROOMAA";"173196.00";"221302.00"
"46792";"86001";"14175";"ROOMGG";"182376.00";"231733.00"
"46793";"86001";"14175";"ROOMCC";"182376.00";"231733.00"
"46794";"86001";"14175";"ROOMBB";"219096.00";"273461.00"
"46795";"86015";"14189";"ROOMDD";"112608.00";"137088.00"
"46796";"86015";"14189";"ROOMAA";"118728.00";"143208.00"
"46797";"86015";"14189";"ROOMGG";"124848.00";"149328.00"
