"id";"search_log_room_id";"age";"baby_bed"
"1859";"4710";"14";"0"
"1860";"4710";"15";"0"
"1861";"4711";"12";"0"
"1862";"4711";"15";"0"
"1863";"4712";"14";"0"
"1864";"4714";"14";"0"
"1865";"4716";"14";"0"
"1866";"4725";"9";"0"
"1867";"4725";"6";"0"
"1868";"4728";"9";"0"
"1869";"4728";"6";"0"
"1870";"4728";"3";"0"
"1871";"4729";"8";"0"
"1872";"4729";"9";"0"
"1873";"4730";"0";"0"
"1874";"4734";"10";"0"
"1875";"4734";"8";"0"
"1876";"4735";"10";"0"
"1877";"4735";"8";"0"
"1878";"4739";"1";"1"
"1879";"4740";"0";"1"
"1880";"4833";"6";"0"
"1881";"4833";"9";"0"
"1882";"4835";"2";"0"
"1883";"4835";"4";"0"
"1884";"4836";"2";"0"
"1885";"4836";"4";"0"
"1888";"4838";"6";"0"
"1889";"4838";"9";"0"
"1890";"4847";"2";"1"
"1891";"4848";"2";"1"
"1892";"4853";"11";"0"
"1893";"4854";"10";"0"
"1894";"4854";"8";"0"
"1895";"4854";"3";"0"
"1896";"4856";"2";"0"
"1897";"4856";"4";"0"
"1898";"4857";"10";"0"
"1899";"4857";"8";"0"
"1900";"4857";"3";"0"
"1901";"4865";"3";"0"
"1902";"4865";"11";"0"
"1903";"4866";"3";"0"
"1904";"4866";"11";"0"
"1905";"4867";"3";"0"
"1906";"4867";"11";"0"
"1907";"4868";"3";"0"
"1908";"4869";"0";"0"
"1909";"4870";"3";"0"
"1910";"4871";"11";"0"
"1911";"4872";"4";"0"
"1912";"4872";"6";"0"
"1913";"4872";"8";"0"
"1914";"4873";"5";"0"
"1915";"4875";"3";"0"
"1916";"4875";"6";"0"
"1917";"4878";"12";"0"
"1918";"4882";"7";"0"
"1919";"4884";"5";"0"
"1920";"4885";"7";"0"
"1921";"4885";"9";"0"
"1922";"4892";"5";"0"
"1923";"4892";"7";"0"
"1924";"4892";"9";"0"
"1925";"4902";"7";"0"
"1926";"4903";"7";"0"
"1927";"4905";"7";"0"
"1928";"4912";"7";"0"
"1929";"4936";"15";"0"
"1930";"4936";"3";"0"
"1931";"4937";"15";"0"
"1932";"4937";"6";"0"
"1933";"4939";"6";"0"
"1934";"4950";"0";"0"
"1935";"4954";"4";"0"
"1936";"4954";"11";"0"
"1937";"4955";"4";"0"
"1938";"4955";"11";"0"
"1939";"4958";"1";"1"
"1940";"4959";"1";"1"
"1941";"4961";"1";"1"
"1942";"4962";"1";"1"
"1943";"4963";"1";"0"
"1944";"4964";"0";"1"
"1945";"4968";"12";"0"
"1946";"4969";"12";"0"
"1947";"4970";"1";"0"
"1948";"4971";"1";"0"
"1949";"4973";"1";"0"
"1950";"4974";"1";"0"
"1951";"4977";"1";"0"
"1952";"4981";"1";"0"
"1953";"4983";"1";"0"
"1954";"4984";"1";"0"
"1955";"4986";"17";"0"
"1956";"4986";"16";"0"
"1957";"4986";"11";"0"
"1958";"4986";"7";"0"
"1959";"4999";"10";"0"
"1960";"4999";"13";"0"
"1961";"5000";"9";"0"
"1962";"5000";"12";"0"
"1963";"5000";"15";"0"
"1964";"5001";"9";"0"
"1965";"5001";"12";"0"
"1966";"5002";"15";"0"
"1969";"5019";"8";"0"
"1970";"5030";"11";"0"
"1971";"5032";"4";"0"
"1972";"5032";"6";"0"
"1973";"5034";"13";"0"
"1974";"5035";"5";"0"
"1975";"5036";"17";"0"
"1976";"5036";"16";"0"
"1977";"5037";"11";"0"
"1978";"5038";"11";"0"
"1979";"5039";"11";"0"
"1980";"5040";"13";"0"
"1981";"5041";"16";"0"
"1982";"5041";"17";"0"
"1983";"5042";"13";"0"
"1984";"5044";"1";"0"
"1985";"5044";"6";"0"
"1986";"5045";"6";"0"
"1987";"5045";"6";"0"
"1988";"5046";"1";"0"
"1989";"5048";"7";"0"
"1990";"5051";"1";"0"
"1991";"5051";"6";"0"
"1992";"5052";"10";"0"
"1993";"5052";"14";"0"
"1994";"5053";"10";"0"
"1995";"5053";"14";"0"
"1996";"5054";"10";"0"
"1997";"5054";"14";"0"
"1998";"5056";"1";"1"
"1999";"5057";"5";"0"
"2000";"5057";"7";"0"
"2001";"5058";"9";"0"
"2002";"5059";"4";"0"
"2003";"5065";"11";"0"
"2004";"5067";"11";"0"
"2005";"5068";"11";"0"
"2006";"5069";"2";"0"
"2007";"5069";"7";"0"
"2008";"5070";"2";"0"
"2009";"5070";"7";"0"
"2010";"5071";"9";"0"
"2015";"5079";"1";"1"
"2016";"5081";"1";"0"
"2018";"5199";"2";"0"
"2019";"5200";"3";"0"
"2020";"5200";"9";"0"
"2021";"5268";"15";"0"
"2024";"5271";"15";"0"
"2025";"5280";"7";"0"
"2026";"5280";"10";"0"
"2027";"5280";"12";"0"
"2028";"5280";"12";"0"
"2029";"5280";"15";"0"
"2030";"5281";"7";"0"
"2031";"5281";"10";"0"
"2032";"5281";"12";"0"
"2033";"5281";"12";"0"
"2034";"5281";"15";"0"
"2035";"5282";"12";"0"
"2036";"5282";"15";"0"
"2037";"5284";"11";"0"
"2038";"5285";"11";"0"
"2039";"5285";"13";"0"
"2040";"5288";"3";"0"
"2041";"5291";"8";"0"
"2042";"5299";"6";"0"
"2043";"5299";"4";"0"
"2044";"5300";"6";"0"
"2045";"5300";"4";"0"
"2046";"5301";"6";"0"
"2047";"5301";"4";"0"
"2048";"5302";"6";"0"
"2049";"5302";"4";"0"
"2050";"5303";"6";"0"
"2051";"5303";"4";"0"
"2052";"5304";"5";"0"
