,id,uuid,session_id,utm_source,utm_medium,utm_campaign,hotel_id
1502,6864,725354387.1727006420,1727006476,facebook,cpc,campaign_1,hotel_1
1503,6865,53184889.1721740173,1727006501,google,cpc,,hotel_1
1504,6866,721263050.1727006551,1727006597,,nan,(not set),hotel_1
1505,6867,1091190296.1727006654,1727006791,google,cpc,,hotel_1
1506,6868,1833995960.1727007311,1727007343,google,cpc,hu_pmax_brand,hotel_1
1507,6869,759768276.1727007331,1727007428,facebook,cpc,campaign_1,hotel_1
1508,6870,368710321.1714380180,1727007497,,nan,(not set),hotel_1
1509,6871,1557020155.1727007671,1727007715,facebook,cpc,campaign_1,hotel_1
1510,6872,1641727442.1727007673,1727007907,instagram.com,referral,(not set),hotel_1
1511,6873,1389900061.1724583638,1727008024,google,cpc,,hotel_1
1512,6874,2079042547.1727008046,1727008081,google,cpc,hu_pmax_brand,hotel_1
1513,6875,190694573.1727008323,1727008349,m.facebook.com,referral,(not set),hotel_1
1514,6876,546884484.1727008359,1727008470,google,cpc,hu_brand,hotel_1
1515,6877,122375783.1726308343,1727008506,(direct),(not set),(not set),hotel_1
1516,6878,780053846.1727008560,1727008637,google,cpc,,hotel_1
1517,6879,985262442.1727008670,1727008704,google,cpc,hu_pmax_brand,hotel_1
1518,6880,1697037974.1726856409,1727009085,google,organic,(not set),hotel_1
1519,6881,1692716516.1727009051,1727009167,facebook,cpc,campaign_1,hotel_1
1520,6882,848302961.1727009154,1727009205,l.facebook.com,referral,(not set),hotel_1
1521,6883,1375438886.1727009730,1727009763,google,cpc,hu_brand,hotel_1
1522,6884,337481998.1725375539,1727009893,google,cpc,hu_brand,hotel_1
1523,6885,123480244.1727010004,1727010048,google,cpc,hu_pmax_brand,hotel_1
1524,6886,1005295334.1727010071,1727010111,google,cpc,hu_pmax_brand,hotel_1
1525,6888,1238849980.1727010475,1727010514,facebook,cpc,campaign_1,hotel_1
1526,6889,950637908.1726855842,1727010610,google,cpc,hu_brand,hotel_1
1527,6890,139864721.1722488653,1727010808,google,cpc,hu_brand,hotel_1
1528,6891,1100191158.1727010748,1727010812,google,cpc,hu_brand,hotel_1
1529,6892,524155357.1723745106,1727010924,google,cpc,hu_brand,hotel_1
1530,6893,250141810.1725800649,1727010940,google,cpc,hu_brand,hotel_1
1531,6894,1374516893.1727010909,1727010995,google,cpc,hu_brand,hotel_1
1532,6895,1977518983.1725821026,1727011138,,nan,(not set),hotel_1
1533,6896,389950605.1726391903,1727011359,google,organic,(not set),hotel_1
1534,6897,691119230.1727011416,1727011454,google,cpc,hu_brand,hotel_1
1535,6898,1098009291.1727011628,1727011700,google,cpc,,hotel_1
1536,6899,2097823278.1727011622,1727011724,google,organic,(not set),hotel_1
1537,6900,179216809.1727010929,1727011938,,nan,(not set),hotel_1
1538,6901,122375783.1726308343,1727012142,(direct),(not set),(not set),hotel_1
1539,6902,1976367706.1727012082,1727012235,m.facebook.com,referral,(not set),hotel_1
1540,6903,435651652.1727012260,1727012300,google,organic,(not set),hotel_1
1541,6904,304346198.1727012280,1727012478,facebook,cpc,campaign_1,hotel_1
1542,6905,1086083113.1726905655,1727012502,bing,cpc,AT ,hotel_1
1543,6906,872841793.1701336424,1727012534,redir.d-edgeconnect.media,referral,(not set),hotel_1
1544,6907,77464784.1726843781,1727013028,l.facebook.com,referral,(not set),hotel_1
1545,6908,969460667.1727008976,1727013271,google,organic,(not set),hotel_1
1546,6909,1396836518.1726341785,1727013298,,nan,(not set),hotel_1
1547,6910,964158184.1727011454,1727013442,google,cpc,hu_pmax_brand,hotel_1
1548,6911,1548719237.1727013183,1727013643,l.facebook.com,referral,(not set),hotel_1
1549,6912,9938652.1715681079,1727013690,google,cpc,hu_pmax_brand,hotel_1
1550,6913,1485427337.1726556907,1727013996,source_1,referral,(not set),hotel_1
1551,6914,179413397.1727013881,1727014108,google,cpc,,hotel_1
1552,6915,1605583807.1727014000,1727014158,seznam,organic,(not set),hotel_1
1553,6916,959135550.1714017125,1727014246,google,cpc,hu_brand,hotel_1
1554,6917,2085627968.1727014260,1727014308,,nan,(not set),hotel_1
1555,6918,887146569.1727014325,1727014346,google,cpc,,hotel_1
1556,6919,192389160.1724235399,1727014352,google,cpc,,hotel_1
1557,6920,1599652476.1726673903,1727014502,google,cpc,hu_brand,hotel_1
1558,6921,1681968706.1725913818,1727014515,google,cpc,hu_pmax_brand,hotel_1
1559,6922,1076428871.1727014502,1727014633,google,cpc,hu_brand,hotel_1
1560,6923,807657195.1726667943,1727014781,google,cpc,,hotel_1
1561,6924,526073108.1727015294,1727015358,bing,cpc,HU ,hotel_1
1562,6925,1460187845.1727015735,1727015798,google,cpc,,hotel_1
1563,6926,587165473.1726940172,1727016200,google,cpc,hu_brand,hotel_1
1564,6927,191236568.1727015795,1727016530,google,organic,(not set),hotel_1
1565,6928,744097862.1727016728,1727016766,google,cpc,hu_brand,hotel_1
1566,6929,82380345.1727016751,1727016785,m.facebook.com,referral,(not set),hotel_1
1567,6930,514578996.1727016678,1727016792,google,cpc,hu_brand,hotel_1
1568,6931,1879364948.1724406799,1727017087,,nan,(not set),hotel_1
1569,6932,995257859.1726594003,1727017211,google,cpc,hu_brand,hotel_1
1570,6933,287494865.1727017470,1727017738,google,cpc,,hotel_1
1571,6934,61952706.1721302355,1727018127,checkout.simplepay.hu,referral,(not set),hotel_1
1572,6935,1842791014.1726577325,1727018225,google,cpc,hu_brand,hotel_1
1573,6936,1201155075.1727018230,1727018311,google,cpc,,hotel_1
1574,6937,849343821.1714071562,1727018551,,nan,(not set),hotel_1
1575,6938,1178046398.1725820998,1727018585,google,cpc,,hotel_1
1576,6939,1461385942.1726906326,1727018628,google,cpc,,hotel_1
1577,6940,143422121.1727018646,1727018701,google,cpc,,hotel_1
1578,6941,691119230.1727011416,1727018702,google,cpc,hu_brand,hotel_1
1579,6942,317267615.1727018856,1727018915,google,cpc,,hotel_1
1580,6943,2062804791.1727018841,1727018970,google,cpc,hu_brand,hotel_1
1581,6944,255638367.1726001908,1727019356,google,cpc,hu_brand,hotel_1
1582,6945,1891614770.1727019397,1727019478,,nan,(not set),hotel_1
1583,6946,688755440.1727019468,1727019539,google,cpc,hu_pmax_brand,hotel_1
1584,6947,1697945205.1727019428,1727019545,facebook,cpc,campaign_1,hotel_1
1585,6948,95469566.1727019740,1727019781,google,cpc,,hotel_1
1586,6949,827073714.1726992032,1727020029,google,organic,(not set),hotel_1
1587,6950,649870970.1727019781,1727020078,facebook,cpc,campaign_1,hotel_1
1588,6951,1223275413.1727020052,1727020099,(direct),(not set),(not set),hotel_1
1589,6952,734590753.1726591290,1727020127,,nan,(not set),hotel_1
1590,6953,126163163.1714039697,1727020296,google,cpc,,hotel_1
1591,6954,122375783.1726308343,1727020323,,nan,(not set),hotel_1
1592,6955,734590753.1726591290,1727020417,,nan,(not set),hotel_1
1593,6956,1709278702.1727020438,1727020483,google,cpc,,hotel_1
1594,6958,126163163.1714039697,1727020756,google,cpc,,hotel_1
